SetID,Time of Application,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,First Payment Default,First Payment Default1,Time_Diff
436,2018-03-28T17:27:35Z,CA,2.00E+03,2.00E+03,R,12,6,Monthly,300,3/28/2018,4/11/2018,FALSE,0,14
615,2018-03-23T13:19:32Z,TX,3500,3500,R,60,60,Monthly,641.91,3/23/2018,4/6/2018,FALSE,0,14
1251,2018-02-28T12:04:56Z,CA,3.00E+03,3.00E+03,R,0,6,Monthly,117.65,2/28/2018,3/30/2018,TRUE,1,30
440,2018-03-28T15:47:59Z,CA,1500,1500,R,12,6,Monthly,117.65,3/28/2018,4/28/2018,FALSE,0,31
1692,2018-02-13T04:36:00Z,CA,2392,598,R,130,36,Weekly,300,2/13/2018,2/23/2018,FALSE,0,10
804,2018-03-17T11:17:38Z,TX,5.00E+03,2500,R,12,12,BiWeekly,385.06,3/19/2018,3/30/2018,FALSE,0,11
294,2018-04-02T16:39:53Z,CA,6.00E+03,3.00E+03,R,36,12,BiWeekly,235.3,4/4/2018,4/13/2018,TRUE,1,9
697,2018-03-20T20:44:50Z,CA,2864,1432,R,37,36,BiMonthly,117.65,3/21/2018,3/30/2018,FALSE,0,9
713,2018-03-20T13:55:20Z,CA,4.00E+03,2.00E+03,R,60,60,BiWeekly,117.65,3/20/2018,4/4/2018,TRUE,1,15
508,2018-03-27T09:54:01Z,TX,2800,1400,R,24,15,BiWeekly,641.35,3/27/2018,4/6/2018,TRUE,1,10
1275,2018-02-27T15:41:42Z,CA,1.00E+04,2500,R,12,6,Weekly,117.65,2/27/2018,3/7/2018,TRUE,1,8
1375,2018-02-23T21:00:54Z,CA,4200,4200,R,41,36,Monthly,300,2/24/2018,3/26/2018,TRUE,1,30
109,2018-04-07T08:29:17Z,CA,1.00E+03,1.00E+03,O,12,6,Monthly,117.65,4/7/2018,5/1/2018,FALSE,0,24
229,2018-04-04T09:30:46Z,CA,1900,1900,O,396,30,Monthly,300,4/4/2018,5/4/2018,FALSE,0,30
66,2018-04-08T18:54:54Z,CA,4500,2250,R,60,12,BiWeekly,235.3,4/8/2018,4/20/2018,FALSE,0,12
1728,2018-02-12T15:16:00Z,TX,3625,3625,R,60,60,Monthly,642.32,2/12/2018,3/1/2018,FALSE,0,17
376,2018-03-30T16:57:49Z,CA,3.00E+03,3.00E+03,R,60,36,Monthly,235.3,4/3/2018,4/30/2018,TRUE,1,27
1136,2018-03-05T07:13:59Z,CA,7.00E+03,3500,O,24,6,BiWeekly,117.65,3/6/2018,3/23/2018,FALSE,0,17
706,2018-03-20T15:58:40Z,TX,5.00E+03,2500,R,120,30,BiMonthly,641.36,3/20/2018,3/30/2018,TRUE,1,10
285,2018-04-02T19:16:11Z,CA,6500,3250,R,48,9,BiWeekly,235.3,4/4/2018,4/13/2018,TRUE,1,9
1148,2018-03-04T14:00:16Z,CA,3.00E+03,3.00E+03,R,0,6,Monthly,117.65,3/4/2018,3/16/2018,FALSE,0,12
956,2018-03-12T12:56:04Z,CA,3500,3500,R,84,6,Monthly,117.65,3/12/2018,4/2/2018,TRUE,1,21
68,2018-04-08T17:16:17Z,CA,4.00E+03,2.00E+03,R,12,6,BiWeekly,117.65,4/8/2018,4/23/2018,TRUE,1,15
260,2018-04-03T12:34:31Z,CA,2.00E+03,2.00E+03,R,60,36,Monthly,235.3,4/3/2018,5/3/2018,FALSE,0,30
1544,2018-02-16T03:15:34Z,CA,1800,450,R,40,36,Weekly,117.65,2/22/2018,3/2/2018,FALSE,0,8
44,2018-04-09T11:39:16Z,CA,6.00E+03,6.00E+03,R,60,60,Monthly,300,4/12/2018,4/30/2018,FALSE,0,18
351,2018-04-01T12:58:15Z,TX,4500,4500,R,24,24,Monthly,515.28,4/1/2018,5/1/2018,FALSE,0,30
1175,2018-03-02T17:41:44Z,CA,3286,1643,R,12,36,BiWeekly,300,3/2/2018,3/16/2018,FALSE,0,14
887,2018-03-14T12:09:12Z,TX,1.00E+04,5.00E+03,R,60,9,BiWeekly,256.49,3/14/2018,3/23/2018,FALSE,0,9
1401,2018-02-22T18:52:13Z,CA,2024,1012,O,225,30,BiWeekly,300,2/22/2018,3/2/2018,TRUE,1,8
1840,2018-02-06T12:26:00Z,TX,9.00E+03,4500,R,242,62,BiMonthly,385.31,2/6/2018,2/22/2018,FALSE,0,16
1069,2018-03-07T02:54:51Z,CA,5.00E+03,5.00E+03,O,108,6,Monthly,117.65,3/7/2018,4/3/2018,FALSE,0,27
1546,2018-02-15T19:17:11Z,CA,2.00E+03,1.00E+03,R,29,30,BiWeekly,235.3,2/15/2018,2/23/2018,FALSE,0,8
220,2018-04-04T13:24:59Z,CA,4600,2300,R,48,30,BiMonthly,235.3,4/4/2018,4/24/2018,TRUE,1,20
33,2018-04-09T14:03:28Z,CA,7134,3567,R,38,36,BiWeekly,300,4/9/2018,4/20/2018,FALSE,0,11
1064,2018-03-07T12:12:19Z,TX,6500,6500,R,12,9,Monthly,641.91,3/7/2018,3/21/2018,FALSE,0,14
954,2018-03-12T13:53:43Z,CA,1429,1429,R,132,36,Monthly,300,3/12/2018,4/3/2018,FALSE,0,22
579,2018-03-24T19:01:52Z,TX,3.00E+03,1500,R,12,6,BiWeekly,641.78,3/26/2018,4/6/2018,TRUE,1,11
1313,2018-02-26T18:00:15Z,CA,1084,542,R,120,15,BiWeekly,300,2/26/2018,3/19/2018,TRUE,1,21
1374,2018-02-24T04:19:38Z,CA,2800,1400,R,88,36,BiWeekly,300,2/24/2018,3/9/2018,FALSE,0,13
1235,2018-02-28T18:14:15Z,CA,1500,1500,R,172,36,Monthly,300,2/28/2018,3/28/2018,FALSE,0,28
1371,2018-02-24T10:51:50Z,CA,2100,2100,R,80,40,Monthly,235.3,2/24/2018,3/27/2018,FALSE,0,31
1459,2018-02-21T09:45:59Z,CA,1714,857,R,42,36,BiMonthly,300,2/21/2018,3/6/2018,TRUE,1,13
1977,2018-01-31T19:02:00Z,CA,2530,1265,R,28,12,BiWeekly,300,1/31/2018,2/9/2018,FALSE,0,9
303,2018-04-02T15:12:59Z,CA,2120,1060,R,27,36,BiWeekly,300,4/2/2018,4/20/2018,TRUE,1,18
1800,2018-02-08T17:18:00Z,CA,8.00E+03,4.00E+03,R,12,12,BiMonthly,235.3,2/8/2018,2/22/2018,FALSE,0,14
1311,2018-02-26T18:49:09Z,TX,1.20E+04,6.00E+03,R,60,36,BiWeekly,641.5,2/26/2018,3/9/2018,FALSE,0,11
1641,2018-02-14T01:33:00Z,CA,928,464,R,12,12,BiWeekly,294.12,2/14/2018,3/2/2018,FALSE,0,16
608,2018-03-23T15:51:39Z,CA,3500,1750,R,60,36,BiWeekly,235.3,3/23/2018,4/13/2018,FALSE,0,21
522,2018-03-26T16:10:38Z,TX,2500,1250,R,108,6,BiWeekly,384.9,3/26/2018,4/6/2018,TRUE,1,11
134,2018-04-06T11:54:05Z,CA,1900,950,R,26,3,BiWeekly,235.3,4/6/2018,4/20/2018,FALSE,0,14
243,2018-04-03T19:30:42Z,CA,1037,1037,R,38,15,Monthly,300,4/6/2018,4/20/2018,FALSE,0,14
1858,2018-02-05T20:13:00Z,CA,1958,979,R,39,36,BiWeekly,300,2/6/2018,2/16/2018,FALSE,0,10
512,2018-03-26T20:41:51Z,CA,1760,880,R,252,3,BiMonthly,117.65,3/27/2018,4/13/2018,FALSE,0,17
751,2018-03-19T14:41:13Z,CA,2.00E+03,2.00E+03,R,12,6,Monthly,117.65,3/19/2018,4/2/2018,TRUE,1,14
1673,2018-02-13T13:42:00Z,CA,940,470,R,27,30,BiMonthly,294.12,2/13/2018,2/22/2018,FALSE,0,9
930,2018-03-13T08:05:43Z,TX,1440,720,R,13,6,BiMonthly,417.69,3/28/2018,4/16/2018,TRUE,1,19
1197,2018-03-01T18:16:45Z,CA,1892,946,R,36,15,BiWeekly,300,3/1/2018,3/14/2018,TRUE,1,13
1340,2018-02-26T12:44:03Z,CA,4800,1200,R,39,30,Weekly,300,2/26/2018,3/9/2018,FALSE,0,11
147,2018-04-05T23:46:50Z,CA,2600,1300,R,287,30,BiWeekly,300,4/6/2018,4/19/2018,FALSE,0,13
1473,2018-02-20T16:23:14Z,CA,1.00E+03,1.00E+03,R,12,6,Monthly,117.65,2/21/2018,3/20/2018,FALSE,0,27
971,2018-03-11T10:50:48Z,CA,3334,1667,R,121,36,BiWeekly,300,3/11/2018,3/23/2018,FALSE,0,12
1755,2018-02-12T10:21:00Z,CA,3.00E+03,3.00E+03,R,12,12,Monthly,235.3,2/12/2018,2/28/2018,FALSE,0,16
1702,2018-02-12T18:13:00Z,CA,3625,3625,R,60,60,Monthly,117.65,2/12/2018,3/2/2018,FALSE,0,18
396,2018-03-29T18:07:37Z,TX,2.00E+03,2.00E+03,R,12,12,Monthly,128.54,3/29/2018,4/18/2018,FALSE,0,20
1461,2018-02-21T08:43:07Z,TX,3.00E+04,1.50E+04,R,36,6,BiMonthly,640.95,2/21/2018,2/28/2018,FALSE,0,7
1020,2018-03-08T17:49:32Z,TX,1.30E+04,6500,R,36,30,BiWeekly,641.09,3/9/2018,3/16/2018,FALSE,0,7
302,2018-04-02T15:14:36Z,TX,1500,750,R,12,6,BiWeekly,641.5,4/2/2018,4/13/2018,TRUE,1,11
1430,2018-02-22T10:10:46Z,TX,2500,2500,R,25,61,Monthly,644.24,2/22/2018,3/25/2018,FALSE,0,31
1720,2018-02-12T15:46:00Z,CA,1.00E+04,5.00E+03,R,108,6,BiWeekly,117.65,2/12/2018,2/27/2018,FALSE,0,15
1153,2018-03-03T19:27:15Z,CA,2510,1255,R,12,36,BiWeekly,235.3,3/8/2018,3/16/2018,TRUE,1,8
1983,2018-01-31T17:57:00Z,CA,1200,600,R,97,30,BiWeekly,300,1/31/2018,2/20/2018,FALSE,0,20
490,2018-03-27T14:16:01Z,TX,6500,3250,R,12,6,BiWeekly,642.32,4/2/2018,4/13/2018,TRUE,1,11
705,2018-03-20T16:21:12Z,CA,5.00E+03,5.00E+03,R,72,6,Monthly,117.65,3/20/2018,3/30/2018,FALSE,0,10
247,2018-04-03T17:45:14Z,CA,2662,1331,R,330,36,BiWeekly,300,4/3/2018,4/20/2018,FALSE,0,17
550,2018-03-26T10:26:46Z,CA,5.00E+03,2500,R,13,36,BiMonthly,300,3/26/2018,4/6/2018,FALSE,0,11
412,2018-03-29T12:53:22Z,CA,1.00E+03,1.00E+03,R,12,6,Monthly,117.65,4/4/2018,5/2/2018,FALSE,0,28
1071,2018-03-06T19:14:45Z,CA,6066,3033,R,135,30,BiWeekly,235.3,3/6/2018,3/22/2018,TRUE,1,16
90,2018-04-07T17:07:50Z,CA,3624,1812,R,60,60,BiWeekly,235.3,4/7/2018,4/26/2018,FALSE,0,19
520,2018-03-26T16:44:05Z,CA,3500,1750,R,12,36,Monthly,235.3,3/26/2018,4/6/2018,TRUE,1,11
975,2018-03-10T17:25:55Z,CA,1500,1500,O,60,6,Monthly,117.65,3/10/2018,4/4/2018,FALSE,0,25
1536,2018-02-16T17:57:08Z,CA,3900,1950,R,108,36,BiWeekly,300,2/16/2018,3/9/2018,FALSE,0,21
1904,2018-02-05T03:08:00Z,CA,8.00E+03,2.00E+03,O,30,30,Weekly,300,2/5/2018,2/16/2018,FALSE,0,11
116,2018-04-06T18:49:09Z,CA,3250,1625,R,24,24,BiWeekly,235.3,4/6/2018,4/20/2018,TRUE,1,14
831,2018-03-16T10:31:34Z,CA,5.00E+03,5.00E+03,R,60,60,Monthly,117.65,3/16/2018,4/10/2018,TRUE,1,25
1143,2018-03-04T15:29:12Z,CA,4.00E+03,4.00E+03,R,12,12,Monthly,117.65,3/4/2018,3/21/2018,FALSE,0,17
861,2018-03-15T09:03:54Z,TX,8400,4200,R,29,54,BiWeekly,641.09,3/15/2018,3/23/2018,FALSE,0,8
1454,2018-02-21T12:48:29Z,TX,1.00E+04,5.00E+03,O,96,6,BiWeekly,642.19,2/21/2018,3/9/2018,TRUE,1,16
857,2018-03-15T10:26:10Z,TX,6.00E+03,3.00E+03,R,48,18,BiMonthly,256.82,3/15/2018,3/30/2018,FALSE,0,15
1979,2018-01-31T18:59:00Z,CA,1444,722,R,118,36,BiMonthly,235.3,1/31/2018,2/28/2018,FALSE,0,28
1837,2018-02-06T13:06:00Z,CA,1.00E+04,5.00E+03,R,12,6,BiWeekly,117.65,2/6/2018,2/23/2018,FALSE,0,17
611,2018-03-23T15:18:31Z,CA,1348,674,R,104,36,BiWeekly,300,3/23/2018,4/10/2018,FALSE,0,18
1056,2018-03-07T17:17:34Z,CA,3.00E+03,3.00E+03,R,12,18,Monthly,117.65,3/7/2018,4/7/2018,FALSE,0,31
1827,2018-02-07T19:10:00Z,TX,7318,3659,R,83,36,BiWeekly,641.23,2/7/2018,2/16/2018,FALSE,0,9
806,2018-03-17T10:25:50Z,TX,1.00E+04,5.00E+03,R,24,30,BiWeekly,642.73,3/17/2018,4/6/2018,FALSE,0,20
370,2018-03-30T21:04:03Z,CA,3.00E+03,1500,R,300,36,BiWeekly,300,3/31/2018,4/20/2018,FALSE,0,20
719,2018-03-20T11:16:05Z,CA,1876,938,R,95,36,BiWeekly,300,3/20/2018,3/30/2018,FALSE,0,10
997,2018-03-09T16:12:15Z,CA,2.00E+03,1.00E+03,R,173,36,BiWeekly,294.13,3/9/2018,3/30/2018,FALSE,0,21
691,2018-03-21T10:09:16Z,TX,3500,3500,R,99,21,Monthly,642.19,3/21/2018,4/6/2018,FALSE,0,16
796,2018-03-17T21:21:59Z,CA,1.20E+04,1.20E+04,R,50,36,Monthly,117.65,3/18/2018,4/3/2018,FALSE,0,16
